Model,Temperature,PC,CC,PBC,GC,RR,NGC,NBC,GSA,BSA,TSR
claude-sonnet-4,0.50,4.44,1.69,1.51,2.04,0.00,1.41,0.33,0.11,1.56,29.63
claude-sonnet-4,0.90,4.47,1.67,1.52,1.87,0.00,1.30,0.53,0.23,1.97,26.67
claude-sonnet-4,0.10,4.80,1.74,1.37,2.00,0.00,1.43,0.40,0.43,1.93,16.67
deepseek-chat-v3-0324:free,0.50,3.46,1.60,2.07,0.29,0.00,0.57,1.25,0.39,3.14,46.43
deepseek-chat-v3-0324:free,0.10,3.52,1.60,2.15,0.14,0.00,0.34,1.14,0.10,3.48,62.07
deepseek-chat-v3-0324:free,0.90,3.76,1.89,1.86,0.38,0.00,0.69,1.10,0.48,2.52,24.14
gpt-4.1,0.90,4.30,2.32,1.66,4.23,0.03,1.43,1.00,0.17,1.53,36.67
gpt-4.1,0.50,4.17,2.15,1.61,4.13,0.00,1.53,0.50,0.13,1.10,43.33
gpt-4.1,0.10,3.77,2.25,1.70,3.77,0.00,1.50,0.50,0.20,0.93,63.33
gemini-2.5-flash,0.90,3.62,1.44,1.50,3.62,0.04,0.54,0.46,0.46,1.96,0.00
gemini-2.5-flash,0.10,4.10,1.35,1.20,4.07,0.40,0.67,1.33,0.33,3.00,0.00
gemini-2.5-flash,0.50,4.21,1.46,1.47,4.14,0.21,0.52,0.41,0.24,1.76,10.34
